Repetition,Estimator,True_Perf,Est_Error
1,Proximal,-1.388131852710,0.205640977236
1,SRA,-1.563843901128,-1.603518581694
1,Oracle,-1.404623187380,-0.149695440651

2,Proximal,-2.672271040878,-1.237658824749
2,SRA,-1.859161577640,-1.607539658027
2,Oracle,-1.390176468454,-0.081863150187

3,Proximal,-3.197872171655,-1.251292244642
3,SRA,-2.043975001603,-1.936069640232
3,Oracle,-1.417376731843,-0.226163345136

4,Proximal,-2.251961711554,-1.083824075336
4,SRA,-1.376695521715,0.065166827282
4,Oracle,-1.420907526319,0.448937203580

5,Proximal,-1.408806686601,-0.824755509789
5,SRA,-1.668879227200,-1.555160223389
5,Oracle,-1.408632250343,0.074057132720

6,Proximal,-1.402869142943,-0.674832292339
6,SRA,-1.838115777450,-1.136550207941
6,Oracle,-1.402869142943,-0.020690838827

7,Proximal,-3.072720661008,-0.251855239612
7,SRA,-2.300401106795,-2.117914091211
7,Oracle,-1.407573133934,-0.044005678602

8,Proximal,-1.376274183496,0.085058745187
8,SRA,-1.430433340772,-0.835205382583
8,Oracle,-1.376274183496,0.170803947037

9,Proximal,-3.141172964094,-0.434543675975
9,SRA,-1.503187333383,-1.243348797231
9,Oracle,-1.401180584984,0.293115511902

10,Proximal,-1.437101668169,0.564733247115
10,SRA,-1.619101064684,-1.301409432251
10,Oracle,-2.211688890125,-0.264048871511

11,Proximal,-2.575299766054,-1.533851121889
11,SRA,-1.501177909226,-1.092491839678
11,Oracle,-1.389671427666,-0.071938164380

12,Proximal,-1.370714204630,1.011885972501
12,SRA,-1.475846356357,-1.401605507109
12,Oracle,-1.370714204630,0.252536636284

13,Proximal,-1.555293149182,-0.543131840656
13,SRA,-2.313015791942,-2.157434287862
13,Oracle,-1.402858762553,0.041986067766

14,Proximal,-1.434291618633,-0.347179077092
14,SRA,-1.501977571054,-0.726205795995
14,Oracle,-1.406411148999,-0.106934262457

15,Proximal,-2.294948739138,-1.890013947771
15,SRA,-1.800436887789,-1.167395786026
15,Oracle,-1.437003159683,-0.418501838977

16,Proximal,-1.387773462659,-1.536954255630
16,SRA,-1.582345783718,-1.775703700106
16,Oracle,-1.429459802424,-0.043586430875

17,Proximal,-1.396512898977,-0.366992575806
17,SRA,-2.290401607086,-1.292829360121
17,Oracle,-1.396548141517,-0.144465640330

18,Proximal,-1.640273580922,-0.207769006066
18,SRA,-1.474254468049,-0.890859896391
18,Oracle,-1.415512002612,0.099447834995

19,Proximal,-1.380902820720,-0.310427503595
19,SRA,-1.926850019737,-2.281845802811
19,Oracle,-1.380902820720,-0.151412923704

20,Proximal,-1.538134204219,-0.455810827700
20,SRA,-1.849885416486,-1.759363339667
20,Oracle,-1.404225936088,-0.417776554986

21,Proximal,-2.731536319810,0.167302538204
21,SRA,-1.922879307980,-2.053870166104
21,Oracle,-1.408797514136,-0.389751202867

22,Proximal,-1.422869809180,-0.140175223526
22,SRA,-1.502123571293,-0.254935049450
22,Oracle,-1.426953823284,-0.053362475599

23,Proximal,-2.297506447727,-3.772385671565
23,SRA,-1.627827588119,-1.332133388005
23,Oracle,-1.387637534433,0.134740503404

24,Proximal,-3.149518856877,-0.472658798543
24,SRA,-1.687397335446,-1.857099190374
24,Oracle,-1.428412800321,-0.198779801331

25,Proximal,-2.574172157458,-1.425951519088
25,SRA,-2.096250046562,-1.793223764485
25,Oracle,-1.395268592847,-0.078758181154

26,Proximal,-1.423025762613,1.143178171088
26,SRA,-1.481956735485,-1.091882401343
26,Oracle,-1.654019750979,-0.190893933504

27,Proximal,-1.404951131197,0.545542501440
27,SRA,-1.442921400216,-0.477107146846
27,Oracle,-1.404951131197,0.146254340977

28,Proximal,-2.309156164427,1.046059865390
28,SRA,-2.309156164427,-1.991630178145
28,Oracle,-1.499997632675,-0.009906260062

29,Proximal,-1.443720181471,-0.614039235006
29,SRA,-1.528549569872,-1.262365826896
29,Oracle,-1.403721523858,-0.295246529055

30,Proximal,-2.540590361003,-0.511128373159
30,SRA,-1.949940068820,-1.330427034948
30,Oracle,-1.392612390841,-0.209993230102

