Repetition,Estimator,True_Perf,Est_Error
1,Proximal,4.757833094463,0.147586880652
1,SRA,4.757833094463,0.344643151750
1,Oracle,5.709799358629,0.518990816553

2,Proximal,5.707555457326,0.916871243363
2,SRA,5.707555457326,1.199781740245
2,Oracle,5.707555457326,-0.051069463535

3,Proximal,4.793573625463,-0.073299725968
3,SRA,5.754680453335,2.033702541177
3,Oracle,5.754680453335,0.730222980608

4,Proximal,5.652940606220,0.738669263847
4,SRA,5.610818332401,1.543438267528
4,Oracle,5.652940606220,0.084675097781

