Repetition,Estimator,True_Perf,Train_Est
1,Proximal,4.077155,-16.888386
1,SRA,3.565334,3.971630
1,Oracle,5.381692,4.819598
2,Proximal,5.368620,-10.720810
2,SRA,5.404668,4.345286
2,Oracle,5.368620,5.255191
3,Proximal,-1.445513,-21.177951
3,SRA,3.541330,4.864762
3,Oracle,5.354487,5.479414
4,Proximal,4.461078,-17.430185
4,SRA,5.354536,4.219068
4,Oracle,5.373650,5.362654
5,Proximal,-1.390661,-0.743849
5,SRA,4.092454,4.302385
5,Oracle,5.409339,5.042979
6,Proximal,3.595585,-7.171384
6,SRA,5.154527,4.327177
6,Oracle,5.395585,5.847904
7,Proximal,2.841645,-11.386996
7,SRA,5.344676,3.835087
7,Oracle,5.367292,5.286735
8,Proximal,-1.447102,-17.930468
8,SRA,5.344174,4.289236
8,Oracle,5.352898,5.550327
9,Proximal,5.396110,-16.993058
9,SRA,5.389046,4.450659
9,Oracle,5.396110,5.574737
10,Proximal,3.462794,-7.634748
10,SRA,5.371157,4.545002
10,Oracle,5.390621,5.778005
11,Proximal,2.403356,-11.360058
11,SRA,3.670898,4.186793
11,Oracle,5.403356,5.431597
12,Proximal,5.390508,-18.623535
12,SRA,5.386670,4.783690
12,Oracle,5.390508,5.952359
13,Proximal,-1.422476,-16.045087
13,SRA,5.404330,4.571412
13,Oracle,5.377524,5.911112
14,Proximal,-1.436077,-19.037979
14,SRA,5.368244,4.470754
14,Oracle,5.363923,5.655995
15,Proximal,2.389681,-20.716982
15,SRA,3.967570,4.625363
15,Oracle,5.389681,5.373165
16,Proximal,3.197090,1.967317
16,SRA,5.391077,3.945530
16,Oracle,5.424679,5.016706
17,Proximal,-1.418604,-9.106100
17,SRA,3.960238,5.022618
17,Oracle,5.381396,5.302702
18,Proximal,5.334843,-19.637887
18,SRA,5.372576,4.348298
18,Oracle,5.334843,5.696168
19,Proximal,5.389282,-16.201692
19,SRA,5.359596,4.027118
19,Oracle,5.389282,5.308834
20,Proximal,5.391571,-16.342951
20,SRA,5.349379,4.315821
20,Oracle,5.391571,5.454624
21,Proximal,3.830077,-2.852830
21,SRA,4.670830,3.832793
21,Oracle,5.360144,4.656901
22,Proximal,5.395406,-5.617971
22,SRA,5.387357,3.965229
22,Oracle,5.395406,5.776999
23,Proximal,2.366119,-20.224125
23,SRA,5.389433,4.283326
23,Oracle,5.366119,5.682271
24,Proximal,-1.385751,-26.221953
24,SRA,5.417333,3.910624
24,Oracle,5.414249,5.134278
25,Proximal,5.339500,-19.703660
25,SRA,5.321959,3.727296
25,Oracle,5.339500,5.050711
26,Proximal,-1.415699,-12.491257
26,SRA,5.389692,4.600162
26,Oracle,5.384301,5.425722
27,Proximal,3.598639,-1.710289
27,SRA,5.371649,4.585903
27,Oracle,5.398639,5.425455
28,Proximal,5.368376,-20.694498
28,SRA,5.366207,4.486906
28,Oracle,5.368376,5.759613
29,Proximal,3.812973,-18.045152
29,SRA,5.376594,4.366448
29,Oracle,5.356186,5.652679
