Repetition,Estimator,True_Perf,Train_Est
1,Proximal,3.578592,1.215039
1,SRA,3.578162,4.851451
1,Oracle,5.378592,6.999668
2,Proximal,2.348370,-21.427752
2,SRA,3.548055,5.165727
2,Oracle,5.192366,5.531269
3,Proximal,4.406378,-7.732095
3,SRA,3.533741,7.457695
3,Oracle,5.330649,6.019991
4,Proximal,2.386684,-30.553438
4,SRA,3.586236,4.790251
4,Oracle,5.386684,6.252184
5,Proximal,3.239743,-36.233083
5,SRA,3.684668,6.289981
5,Oracle,5.484668,6.693517
6,Proximal,-1.438688,-16.988377
6,SRA,3.561312,6.585941
6,Oracle,5.361312,6.035759
7,Proximal,3.559646,-6.802629
7,SRA,3.559646,5.217255
7,Oracle,5.359646,4.724854
8,Proximal,-1.485327,-11.320014
8,SRA,3.514673,5.428521
8,Oracle,5.314673,5.037477
9,Proximal,5.385384,-19.406248
9,SRA,3.585384,5.774360
9,Oracle,5.385384,7.358810
10,Proximal,2.398953,-24.729603
10,SRA,3.598452,4.738677
10,Oracle,5.217256,5.683706
11,Proximal,3.662582,-6.940069
11,SRA,3.663213,5.734384
11,Oracle,5.462582,6.863516
12,Proximal,-1.362874,-29.633273
12,SRA,3.481057,5.457876
12,Oracle,5.435874,5.645891
13,Proximal,5.389125,-7.837601
13,SRA,3.588994,7.180950
13,Oracle,4.328352,5.491562
14,Proximal,2.371094,-21.149658
14,SRA,3.571094,5.756956
14,Oracle,5.371094,5.018372
15,Proximal,3.582053,-0.175673
15,SRA,3.581922,6.661558
15,Oracle,5.382053,5.896162
16,Proximal,5.463368,-6.984040
16,SRA,3.663368,5.235251
16,Oracle,5.463368,4.850454
17,Proximal,5.390633,-25.764907
17,SRA,3.590633,5.461924
17,Oracle,5.389168,7.927190
18,Proximal,4.898592,-18.724075
18,SRA,3.523246,5.231653
18,Oracle,5.323246,6.729772
19,Proximal,2.381242,-33.007230
19,SRA,3.581242,4.976250
19,Oracle,5.381242,7.326701
20,Proximal,5.120987,-8.537528
20,SRA,3.559906,6.458235
20,Oracle,5.358226,5.612021
21,Proximal,3.040015,-11.922729
21,SRA,3.552418,5.928065
21,Oracle,5.351950,6.268219
22,Proximal,3.607004,-33.689761
22,SRA,3.607256,6.693016
22,Oracle,5.407004,5.306002
23,Proximal,3.322844,-1.511115
23,SRA,3.562638,5.841481
23,Oracle,5.362638,5.173424
24,Proximal,3.116015,-37.080293
24,SRA,3.628326,5.977272
24,Oracle,5.427888,5.881620
25,Proximal,-1.491774,-32.580180
25,SRA,3.506607,5.894362
25,Oracle,5.291671,5.712365
26,Proximal,5.381248,-19.507590
26,SRA,3.581787,4.535539
26,Oracle,5.381248,6.781990
27,Proximal,4.439429,-13.175582
27,SRA,3.603674,7.096871
27,Oracle,5.253288,6.437277
28,Proximal,5.362166,-10.388459
28,SRA,3.561526,4.165260
28,Oracle,5.362166,7.456836
29,Proximal,2.323200,-25.247528
29,SRA,3.523350,5.805667
29,Oracle,5.323200,7.548035
30,Proximal,2.418235,-39.830874
30,SRA,3.609693,5.523861
30,Oracle,5.302233,7.332895
31,Proximal,5.363893,-31.043189
31,SRA,3.577875,6.920589
31,Oracle,5.377875,6.578691
32,Proximal,nan,-29.400124
32,SRA,3.494911,5.101780
32,Oracle,5.295117,6.025890
