Repetition,Estimator,True_Perf,Train_Est
1,Proximal,5.378592,-13.386780
1,SRA,3.578162,5.332020
1,Oracle,5.374493,6.999668
2,Proximal,3.548370,-7.417085
2,SRA,3.548055,5.165727
2,Oracle,5.348370,5.294361
3,Proximal,2.332997,-26.855999
3,SRA,3.533741,7.457546
3,Oracle,5.332110,5.987712
4,Proximal,-1.413316,-0.598487
4,SRA,3.586236,4.535952
4,Oracle,5.138478,5.554173
5,Proximal,2.639360,-7.941748
5,SRA,3.684668,6.289981
5,Oracle,5.484292,4.479162
6,Proximal,3.561312,-21.241717
6,SRA,3.561312,6.585941
6,Oracle,5.361312,6.040135
7,Proximal,5.359646,-8.972926
7,SRA,3.559646,5.975338
7,Oracle,5.359646,4.377201
8,Proximal,3.387912,-37.089219
8,SRA,3.514673,5.428521
8,Oracle,3.514673,4.656173
9,Proximal,3.221636,3.336378
9,SRA,3.585384,5.774360
9,Oracle,5.385384,7.358810
10,Proximal,5.133558,-11.684592
10,SRA,3.598452,5.495756
10,Oracle,5.390744,5.672250
11,Proximal,2.462582,-33.445804
11,SRA,3.663213,5.734384
11,Oracle,5.458400,6.863516
12,Proximal,5.435874,-7.188748
12,SRA,3.635874,4.160390
12,Oracle,5.435874,4.130778
13,Proximal,-1.410875,-10.519107
13,SRA,3.588994,7.180950
13,Oracle,4.947418,5.492132
14,Proximal,5.371094,-16.573582
14,SRA,3.571094,5.756956
14,Oracle,5.368775,5.018372
15,Proximal,2.179048,-12.287676
15,SRA,3.581922,6.661558
15,Oracle,4.802242,5.902639
16,Proximal,2.463368,-39.278666
16,SRA,3.663368,5.449269
16,Oracle,5.463368,5.317218
17,Proximal,4.670869,-12.856760
17,SRA,3.590633,5.461924
17,Oracle,5.390633,6.994223
18,Proximal,5.210566,-33.894106
18,SRA,3.523246,5.215793
18,Oracle,5.323246,5.919028
19,Proximal,3.190698,-33.007230
19,SRA,3.581242,4.976250
19,Oracle,5.381242,7.326701
20,Proximal,2.359776,-28.914964
20,SRA,3.559906,6.458235
20,Oracle,5.359776,5.723879
21,Proximal,4.912205,-20.097321
21,SRA,3.552418,5.928065
21,Oracle,3.552208,5.481086
22,Proximal,-1.392996,3.540946
22,SRA,3.607256,6.693016
22,Oracle,5.325644,5.303949
23,Proximal,-1.437362,-12.656442
23,SRA,3.562638,5.837406
23,Oracle,5.362638,5.173565
24,Proximal,3.627888,-23.025374
24,SRA,3.628326,5.977272
24,Oracle,5.427888,5.730623
25,Proximal,2.308226,-32.580180
25,SRA,3.508226,5.438840
25,Oracle,5.308226,4.364371
26,Proximal,5.381248,-9.519586
26,SRA,3.581787,4.496676
26,Oracle,5.381248,6.781990
27,Proximal,4.873797,-16.611949
27,SRA,3.603674,7.070266
27,Oracle,5.354070,5.533870
28,Proximal,-1.437834,-33.818429
28,SRA,3.561526,3.364490
28,Oracle,5.362166,7.456836
29,Proximal,4.962701,-8.457183
29,SRA,3.549256,4.973662
29,Oracle,5.323200,4.669697
30,Proximal,2.918301,-12.127559
30,SRA,3.609693,5.523861
30,Oracle,5.409693,6.959990
31,Proximal,-1.422125,2.166036
31,SRA,3.577875,6.920589
31,Oracle,4.069588,3.803760
32,Proximal,nan,-29.400124
32,SRA,3.494911,5.116315
32,Oracle,5.295117,5.415700
33,Proximal,-1.444430,-38.107448
33,SRA,3.555570,4.802749
33,Oracle,5.355570,6.530026
