Repetition,Estimator,True_Perf,Train_Est
1,Proximal,2.381692,-4.543643
1,SRA,3.565334,3.992829
1,Oracle,5.381293,4.819598
2,Proximal,2.368620,-18.334588
2,SRA,5.404668,4.345286
2,Oracle,5.368620,5.255191
3,Proximal,2.354487,-10.921950
3,SRA,5.341330,4.239808
3,Oracle,5.354487,5.479414
4,Proximal,3.573650,-17.430185
4,SRA,5.354162,2.759395
4,Oracle,5.373650,5.362654
5,Proximal,3.888302,-16.693170
5,SRA,5.370502,4.024743
5,Oracle,5.409339,5.042979
6,Proximal,5.389500,-21.106424
6,SRA,5.361973,4.239019
6,Oracle,5.395585,5.847904
7,Proximal,5.367292,-18.058299
7,SRA,3.543989,3.530241
7,Oracle,5.367292,5.286735
8,Proximal,2.352898,-6.555337
8,SRA,5.101699,4.288598
8,Oracle,5.352898,5.550327
9,Proximal,5.396005,-14.539919
9,SRA,3.520414,4.364428
9,Oracle,5.396110,5.574737
10,Proximal,3.590540,-13.225656
10,SRA,5.371157,4.545002
10,Oracle,5.390621,5.778005
11,Proximal,3.600916,-16.852257
11,SRA,5.393992,4.045520
11,Oracle,5.403356,5.431597
12,Proximal,3.590508,-18.623535
12,SRA,5.386670,4.783690
12,Oracle,5.390508,5.952359
13,Proximal,5.377524,-16.045087
13,SRA,5.404330,4.571412
13,Oracle,5.377524,5.911112
14,Proximal,-1.435751,-21.011939
14,SRA,5.368244,4.470754
14,Oracle,5.363923,5.655995
15,Proximal,-1.410319,-4.703597
15,SRA,5.383640,4.457541
15,Oracle,5.389681,5.373165
16,Proximal,3.393572,-1.244537
16,SRA,5.391077,3.710513
16,Oracle,5.424679,5.016706
17,Proximal,3.581396,-4.608018
17,SRA,3.743928,4.725613
17,Oracle,5.381396,5.302702
18,Proximal,5.334843,-19.637887
18,SRA,5.364719,4.343379
18,Oracle,5.334843,5.696168
19,Proximal,2.389282,-11.976132
19,SRA,3.559596,3.376392
19,Oracle,5.389282,5.308834
20,Proximal,5.390681,-16.342951
20,SRA,5.353742,4.310293
20,Oracle,5.390681,5.454624
21,Proximal,2.360144,-9.502388
21,SRA,3.559221,3.854893
21,Oracle,3.142480,4.651667
22,Proximal,2.197501,-19.366343
22,SRA,5.387357,3.965229
22,Oracle,5.395406,5.776999
23,Proximal,3.928677,-7.765295
23,SRA,5.389433,4.283326
23,Oracle,5.366119,5.682271
24,Proximal,4.726193,-26.221953
24,SRA,5.417333,3.910624
24,Oracle,5.414249,5.134278
25,Proximal,4.896948,-13.293744
25,SRA,5.321959,3.727296
25,Oracle,5.339500,5.050711
26,Proximal,4.024720,0.614816
26,SRA,5.389692,4.600162
26,Oracle,5.384301,5.425722
27,Proximal,3.602548,-7.848106
27,SRA,5.371649,4.585903
27,Oracle,5.398639,5.425455
28,Proximal,5.368376,-20.694498
28,SRA,5.366207,4.486906
28,Oracle,5.368376,5.759613
29,Proximal,2.877435,0.543419
29,SRA,5.376594,4.366448
29,Oracle,5.356186,5.652679
30,Proximal,5.394346,-18.502833
30,SRA,5.407411,4.205683
30,Oracle,5.394346,5.571113
