Repetition,Estimator,True_Perf,Est_Error
1,Proximal,0.995107730828,-5.669664748351
1,SRA,2.006663154210,-0.743827389288
1,Oracle,2.662125055696,-0.087979998505

2,Proximal,2.658975952820,-0.848851778270
2,SRA,2.625880674920,0.084496806519
2,Oracle,1.247160101492,-0.102178218600

3,Proximal,2.676645692510,-1.001815111306
3,SRA,2.201920497326,-0.458192100977
3,Oracle,2.676645692510,0.022272084916

4,Proximal,2.646314251419,-1.071092536521
4,SRA,2.279029930375,-0.391874138084
4,Oracle,2.646314251419,0.048500691238

5,Proximal,2.674810670316,-1.157124021710
5,SRA,2.674810670316,0.022023334137
5,Oracle,2.674810670316,0.023911032772

6,Proximal,2.650566159600,-0.842329061562
6,SRA,1.753937542464,-0.760393376040
6,Oracle,2.650566159600,0.182550943084

7,Proximal,0.891547229084,-5.200510060872
7,SRA,2.670201691953,0.163969067275
7,Oracle,2.670201691953,0.154611762016

8,Proximal,1.696852166849,-0.640580720843
8,SRA,2.586654694746,0.290833450224
8,Oracle,2.658702631043,0.183031523295

9,Proximal,1.964127898459,-0.321129646589
9,SRA,0.995374720914,-1.553332143728
9,Oracle,2.590961620226,-0.034092975226

10,Proximal,0.897560646071,-6.427857315372
10,SRA,2.080799417694,-0.577129947450
10,Oracle,2.693275900438,0.279582914110

11,Proximal,1.980467186179,-0.182312467112
11,SRA,2.495898327565,-0.336657325813
11,Oracle,2.628328127108,0.038647082788

12,Proximal,0.877734681127,-3.624314176233
12,SRA,2.401992605646,-0.481258764533
12,Oracle,2.658326940672,-0.173561562714

13,Proximal,2.600662235885,-1.987734804576
13,SRA,1.781893505750,-0.577953846992
13,Oracle,2.675653780448,-0.014361796786

14,Proximal,0.882886365183,-2.259520122851
14,SRA,2.612611976624,-0.020295057737
14,Oracle,2.680001198940,0.012825533982

15,Proximal,0.925239776711,-6.086782697411
15,SRA,2.391758472069,-0.440821599431
15,Oracle,2.648269294050,-0.211991049357

16,Proximal,2.673677870480,-0.570345827487
16,SRA,2.191617373793,-0.558048220714
16,Oracle,2.662109639208,-0.024550345195

17,Proximal,0.908128300449,-1.159899585818
17,SRA,2.651752173094,0.260973710528
17,Oracle,2.680765117939,0.102125134148

18,Proximal,1.976011552677,0.111161493079
18,SRA,2.687187929701,-0.066998870212
18,Oracle,2.687187929701,-0.061805790859

19,Proximal,1.969869987713,-0.093720548003
19,SRA,2.666370969779,-0.145949036829
19,Oracle,2.666370969779,-0.158214423819

20,Proximal,2.671082813496,-1.285714392776
20,SRA,1.545115659294,-1.261329847308
20,Oracle,2.671082813496,0.088950489782

21,Proximal,0.872053019254,-4.997951393297
21,SRA,2.454180671163,-0.519421074200
21,Oracle,2.593111963884,-0.287781965901

22,Proximal,0.881198882708,-0.721399745418
22,SRA,1.888648361165,-0.940911822810
22,Oracle,2.646457731632,0.148546882369

23,Proximal,1.240120928895,-1.038200431401
23,SRA,2.453832751266,-0.327907244078
23,Oracle,2.675865491368,-0.134701580929

24,Proximal,1.967149523329,-0.081409346771
24,SRA,2.151611769705,-0.833677760919
24,Oracle,2.668083912363,-0.144887224026

25,Proximal,1.973284064233,-0.178954550669
25,SRA,2.428561495839,-0.349987991351
25,Oracle,2.680410036040,0.006317073530

26,Proximal,0.913998647539,-7.733121469564
26,SRA,2.637891447238,-0.013251404196
26,Oracle,2.651864156116,-0.015881399875

27,Proximal,1.932445289443,0.085087504387
27,SRA,2.676121991590,0.070478618562
27,Oracle,2.676121991590,-0.193845194655

28,Proximal,0.894881047689,-2.158539175244
28,SRA,0.894881047689,-1.897029234729
28,Oracle,2.674844767532,-0.014860508219

29,Proximal,0.865553483744,-3.281180223740
29,SRA,1.966597719854,0.195933295457
29,Oracle,2.666264835482,0.185759836826

30,Proximal,2.689094021999,-1.128334492233
30,SRA,1.971892488773,-0.948798400627
30,Oracle,2.689094021999,-0.259458393574

