Repetition,Estimator,True_Perf,Est_Error
1,Proximal,7.751731296151,-2.065867176676
1,SRA,4.616835097627,0.581377732739
1,Oracle,7.815223952620,-0.260837130204

2,Proximal,4.612403355179,-0.144889014982
2,SRA,7.804200736780,1.606380307747
2,Oracle,7.804200736780,-0.146293720159

3,Proximal,7.809872801903,1.666970862822
3,SRA,7.882240379315,2.128672156611
3,Oracle,7.818478088574,0.326935516784

4,Proximal,4.606723770999,-1.213784913815
4,SRA,7.683869530851,1.800901096611
4,Oracle,7.652147929155,0.329790200461

5,Proximal,7.488206883250,1.901242306749
5,SRA,7.861520002518,1.734218170373
5,Oracle,7.861520002518,-0.157583508611

6,Proximal,4.616701911842,-0.372342060584
6,SRA,7.677353092502,1.569009368368
6,Oracle,7.597756422455,-0.064645248556

7,Proximal,2.344576555952,-0.659378426654
7,SRA,7.841628571200,2.026664481317
7,Oracle,7.841628571200,0.106415267592

8,Proximal,7.751149909166,-0.322931698499
8,SRA,7.704079384846,2.156066146303
8,Oracle,7.751149909166,-0.002103255910

9,Proximal,7.797818975713,-0.952211704492
9,SRA,6.086750925779,0.965019791519
9,Oracle,7.797818975713,0.312404533743

10,Proximal,4.644293362260,0.544605853011
10,SRA,4.644293362260,0.587907689784
10,Oracle,7.665439212292,-0.422100813538

11,Proximal,7.742499426819,-0.598440598366
11,SRA,7.820867056320,2.138232267699
11,Oracle,4.648906993683,0.059519657722

12,Proximal,7.792526020982,-1.352078701369
12,SRA,7.792526020982,1.574113736884
12,Oracle,7.792526020982,-0.213926120931

13,Proximal,1.547406403472,-1.482354737985
13,SRA,7.835837300620,2.293851404766
13,Oracle,7.764812831210,0.220345402882

14,Proximal,4.642835981579,0.176241491236
14,SRA,7.840705338027,1.995433225237
14,Oracle,7.840705338027,0.042839390668

15,Proximal,7.852691533162,-0.609013489741
15,SRA,7.852691533162,1.423746638379
15,Oracle,7.852691533162,-0.099466623368

16,Proximal,7.843278339590,0.660932946756
16,SRA,7.843278339590,1.874365904644
16,Oracle,7.770239237404,-0.203817973272

17,Proximal,4.619547841195,1.495306012946
17,SRA,4.765567439864,0.786686019449
17,Oracle,7.854771558048,0.015204762739

18,Proximal,7.877236124165,1.230664703531
18,SRA,7.877236124165,1.585812725106
18,Oracle,7.877236124165,-0.253141950483

19,Proximal,7.789170205186,-0.326287244042
19,SRA,7.789170205186,2.303014585531
19,Oracle,7.770826677874,-0.067875680487

20,Proximal,4.651091583795,-0.713945157767
20,SRA,7.854165523628,2.125820093828
20,Oracle,7.854165523628,-0.154745261010

21,Proximal,4.599827818240,-2.073842042996
21,SRA,7.817381971282,1.541632013166
21,Oracle,7.817381971282,-0.041578506540

22,Proximal,4.606204866406,0.151072082814
22,SRA,7.822019737717,1.764907340821
22,Oracle,7.822019737717,0.001883902693

23,Proximal,6.426074914323,-0.281853049246
23,SRA,7.726853923572,1.903566570094
23,Oracle,7.857678641637,0.190168335529

24,Proximal,7.829958479711,0.741804814056
24,SRA,6.464440441392,1.517514610005
24,Oracle,7.676557095020,0.320067159578

25,Proximal,7.855956319528,-0.372330593037
25,SRA,7.855956319528,2.381322594544
25,Oracle,4.751666598954,0.005880903796

26,Proximal,7.848655936989,-0.271307274676
26,SRA,7.848655936989,1.783517605364
26,Oracle,7.057583753644,-0.252049045650

27,Proximal,7.856521979973,2.450043168424
27,SRA,7.856521979973,1.787477189451
27,Oracle,7.856521979973,0.119154183813

28,Proximal,7.858672150122,-0.941274407391
28,SRA,7.630384414104,1.162911914115
28,Oracle,7.858672150122,-0.299832442989

29,Proximal,7.795941155442,-0.057211062050
29,SRA,4.703925674686,0.422916536355
29,Oracle,7.757071249803,0.165245076283

30,Proximal,7.825006766789,-1.380612262337
30,SRA,7.825006766789,1.775514460470
30,Oracle,7.787332785946,-0.199857621924

