Repetition,Estimator,True_Perf,Est_Error
1,Proximal,4.727997904902,0.465370594714
1,SRA,5.652309622797,1.763019841416
1,Oracle,5.655162607341,-0.262908200250

2,Proximal,5.660920424057,1.531812850492
2,SRA,5.661275101784,1.772893804274
2,Oracle,5.661424508079,-0.276324625539

3,Proximal,5.144875822412,-0.460646120864
3,SRA,4.820389938814,0.875994127078
3,Oracle,5.733081939530,-1.473882607413

4,Proximal,4.750598521319,-1.510389271118
4,SRA,4.812165807030,-0.099150275384
4,Oracle,5.669504826834,0.124570080749

5,Proximal,5.712279749763,-0.064197691876
5,SRA,4.783339559260,-0.509840015568
5,Oracle,5.647982848269,0.004412460069

6,Proximal,4.885782908497,-0.957869645607
6,SRA,4.924213446809,0.067196898889
6,Oracle,5.731759889570,0.886583363262

7,Proximal,5.692276849358,1.905253760796
7,SRA,4.767253107032,0.878693029042
7,Oracle,5.674725108120,0.336658962509

8,Proximal,4.786673444912,-0.327463370621
8,SRA,5.735576184359,2.163386079193
8,Oracle,5.735576184359,-0.165381668764

9,Proximal,5.635259036853,1.420091595761
9,SRA,4.784066394117,0.064449531270
9,Oracle,4.784325434213,-1.218927188687

10,Proximal,4.770069995717,-0.532092741961
10,SRA,4.823945002824,-0.322806868667
10,Oracle,4.825972645334,-0.493493818494

11,Proximal,5.746927651171,1.849590379791
11,SRA,5.684568760875,1.253945657808
11,Oracle,5.720985770866,-0.208118423606

