Estimator,Mean_True_Q_V(d),Std_True_Q_V(d),Estimation_Error_Mean
Proximal,2.9047319671264806,2.1146474958219814,20.906394674678523
SRA,5.08656365885176,0.6119280599767215,1.01058677920272
Oracle,5.380498991987,0.021998699974156873,0.27470522469471986
