Repetition,Estimator,True_Perf,Est_Error
1,Proximal,5.709799358629,0.812436277464
1,SRA,4.784514140968,0.174267927156
1,Oracle,5.709799358629,0.353175310516

2,Proximal,5.677429416281,-0.066129903843
2,SRA,5.683989238007,1.131686725030
2,Oracle,5.684434176807,-0.232063239506

3,Proximal,5.681466950064,0.484788348806
3,SRA,4.793573625463,0.834010804087
3,Oracle,5.688359033445,0.115625402862

4,Proximal,4.782428115357,-1.199189215706
4,SRA,4.869336934183,-0.164468484324
4,Oracle,5.652940606220,-0.193766614030

5,Proximal,4.796807020756,-0.094664966965
5,SRA,4.805485456631,0.240492467705
5,Oracle,5.708207821535,0.202740045504

6,Proximal,5.664918421350,-0.624237135933
6,SRA,4.856300337456,0.287819697554
6,Oracle,5.674006922550,-0.428185986207

7,Proximal,4.829803537242,-1.106849283844
7,SRA,4.835112362222,0.587383512557
7,Oracle,5.711807708405,0.224247679291

8,Proximal,4.745101214724,-1.062899532990
8,SRA,4.731305264582,0.174584660090
8,Oracle,5.655620844328,-0.477346573875

9,Proximal,4.730183423288,-0.632985563936
9,SRA,4.757838975021,-0.085036088634
9,Oracle,5.639170381291,-0.406064972303

10,Proximal,4.814178407323,0.016174959479
10,SRA,5.697510508860,1.534563711040
10,Oracle,5.697510508860,0.210994768403

11,Proximal,5.701854321071,4.009820955711
11,SRA,5.687271384639,1.681722343798
11,Oracle,4.934642912421,-0.369671525690

12,Proximal,4.747705615667,-2.196824874837
12,SRA,4.763063998026,0.073417897179
12,Oracle,5.688593806737,0.116832262600

13,Proximal,5.699836312229,0.099888921766
13,SRA,4.789155020879,0.108104561366
13,Oracle,5.705027367849,0.290103088237

14,Proximal,4.770779895174,-0.980290556414
14,SRA,5.699287681062,0.545639461350
14,Oracle,5.686269758723,-0.494527544485

15,Proximal,5.732258105473,-0.161973981024
15,SRA,5.732258105473,1.140024751358
15,Oracle,5.732258105473,-0.108541604707

16,Proximal,4.759374523867,-0.366808791352
16,SRA,4.759374523867,-0.322314892172
16,Oracle,4.759374523867,-0.229305755984

17,Proximal,5.727537568226,1.304964576556
17,SRA,4.818221973343,0.548591554280
17,Oracle,5.727537568226,-0.108158024983

18,Proximal,5.710440349388,0.711167025419
18,SRA,5.714955682614,1.359299903231
18,Oracle,5.744151441565,0.095335810304

19,Proximal,5.700703502012,1.371034829580
19,SRA,4.769064012118,0.265138533660
19,Oracle,5.700703502012,0.155141303844

20,Proximal,4.785444747932,-2.795983763294
20,SRA,4.763135474507,0.783334990823
20,Oracle,5.544141721443,0.046179630226

21,Proximal,5.694592767975,-0.183359353548
21,SRA,4.754191400403,0.335791661049
21,Oracle,5.564407213608,-0.351802887063

22,Proximal,4.745796498056,0.145106951332
22,SRA,5.701510323874,1.313801544205
22,Oracle,5.701510323874,-0.142864534660

23,Proximal,5.733081939530,-0.226375975988
23,SRA,5.719811680646,1.888287575754
23,Oracle,5.699052614596,-0.352957302323

24,Proximal,5.716821705253,1.583620367906
24,SRA,4.773027992741,-0.320817829913
24,Oracle,5.649597403386,0.161154011545

25,Proximal,5.666755633988,-0.972322041697
25,SRA,4.799923835116,0.245418514864
25,Oracle,4.800542858135,0.092642501007

26,Proximal,4.765357596369,-0.448076130825
26,SRA,4.765357596369,0.261472750528
26,Oracle,5.731759889570,0.209404837877

27,Proximal,5.678476401271,-1.509750849111
27,SRA,5.700436317110,0.806615268598
27,Oracle,5.674300222134,-0.786662611376

28,Proximal,4.810491104060,-0.880540966991
28,SRA,4.826728386868,0.081531924557
28,Oracle,5.729157746714,-0.277509094559

29,Proximal,4.729370614022,-0.406854095865
29,SRA,5.053505820949,0.155272471209
29,Oracle,5.609146579986,-0.348663028132

30,Proximal,5.717833276764,1.694441146142
30,SRA,5.692005542677,1.046700070651
30,Oracle,5.696575144424,-0.315029607717

