Repetition,Estimator,True_Perf,Train_Est
1,Proximal,3.572035165814,6.004565739593
1,SRA,5.372035165814,4.175672051654
1,Oracle,5.372035165814,5.011715627186

2,Proximal,3.547769296709,6.393595106648
2,SRA,5.347769296709,4.296886331386
2,Oracle,5.347769296709,5.206791613732

3,Proximal,5.393556138768,5.919962228757
3,SRA,3.594326934921,4.125805350326
3,Oracle,5.393556138768,5.589295772079

4,Proximal,2.396335883252,4.913946613284
4,SRA,5.396335883252,4.613408216861
4,Oracle,5.396335883252,5.599257625623

5,Proximal,5.411573256944,6.268034798141
5,SRA,4.287527428691,4.314652932512
5,Oracle,5.411573256944,5.104964428852

6,Proximal,3.591325808694,7.046464316774
6,SRA,3.591325808694,3.930465802275
6,Oracle,5.391325808694,5.781785149015

7,Proximal,5.376566924467,6.821861908352
7,SRA,5.376566924467,3.835086863962
7,Oracle,5.376566924467,5.286735473766

8,Proximal,2.406804912055,3.263227294752
8,SRA,5.406804912055,4.227968250030
8,Oracle,5.406804912055,5.432897050901

9,Proximal,5.399248756962,5.923609088422
9,SRA,5.399248756962,4.569534122216
9,Oracle,5.399248756962,5.712706281970

10,Proximal,5.387848478113,6.209057789341
10,SRA,5.387848478113,4.372744118597
10,Oracle,5.387848478113,5.560416392223

11,Proximal,4.847805649689,5.928022689093
11,SRA,5.387619276906,3.960222811427
11,Oracle,5.387619276906,5.346299815132

12,Proximal,3.512505996555,4.630904717696
12,SRA,5.313418241973,4.656151005360
12,Oracle,5.313418241973,5.738927093073

13,Proximal,3.592770502228,6.577992487261
13,SRA,5.392770502228,4.255093425207
13,Oracle,5.392770502228,5.613400668989

14,Proximal,3.602206920848,6.444126457769
14,SRA,5.402206920848,4.386093682850
14,Oracle,5.402206920848,5.529005168082

15,Proximal,3.563888575308,6.739803823502
15,SRA,4.457709054341,5.017589447066
15,Oracle,5.363888575308,5.455468750381

16,Proximal,2.706966788151,5.639406551940
16,SRA,5.391432051417,4.101742891159
16,Oracle,5.391432051417,5.184077123926

17,Proximal,3.532064703128,6.094898221737
17,SRA,5.332064703128,4.359753345280
17,Oracle,5.332064703128,5.321374174502

18,Proximal,1.583379418196,4.286851298456
18,SRA,5.354632129358,4.377813431953
18,Oracle,5.354632129358,5.706006617575

19,Proximal,4.403503659898,5.363678185427
19,SRA,5.356301685886,4.027118270508
19,Oracle,5.356301685886,5.271682370533

20,Proximal,2.366535963305,4.517214985095
20,SRA,5.365284313781,4.133391188166
20,Oracle,5.366535963305,5.393813951822

21,Proximal,3.560554374574,6.488723126821
21,SRA,5.360554374574,4.013084709431
21,Oracle,5.360554374574,5.015158556357

22,Proximal,5.399746914560,7.093735377031
22,SRA,5.399746914560,3.965228628109
22,Oracle,5.399746914560,5.776998636893

23,Proximal,5.377012426252,7.489228455263
23,SRA,5.377012426252,4.345501341340
23,Oracle,5.377012426252,5.682271412483

24,Proximal,5.390222900618,5.701605028647
24,SRA,5.390222900618,4.013465337186
24,Oracle,5.390222900618,5.453247185712

25,Proximal,5.403953538661,6.519734687665
25,SRA,5.403953538661,3.853399775946
25,Oracle,5.403953538661,5.202578072743

26,Proximal,5.373240883455,7.164910731501
26,SRA,5.373240883455,4.589440934735
26,Oracle,5.373240883455,5.318506170276

27,Proximal,3.577826304433,6.357140888424
27,SRA,5.377826304433,4.479631085702
27,Oracle,5.377826304433,5.404200323660

28,Proximal,5.389565442479,7.542064041459
28,SRA,5.389565442479,4.452815954204
28,Oracle,5.389565442479,5.782339551998

29,Proximal,2.328310361861,4.985648133188
29,SRA,5.328310361861,4.366448090573
29,Oracle,5.328310361861,5.652679062634

30,Proximal,5.400158537041,5.352789429949
30,SRA,5.400158537041,4.239631683737
30,Oracle,5.400158537041,5.571113221546

